Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
64,0.137020,0.009487,0.127533,0.127527,32768
0,0.137003,0.009184,0.127819,0.127816,32768
29,0.051520,0.009810,0.041710,0.041708,32768
12,0.087647,0.009654,0.077993,0.077989,32768
76,0.087564,0.009729,0.077835,0.077834,32768
126,0.064477,0.009709,0.054768,0.054765,32768
62,0.064263,0.009708,0.054555,0.054553,32768
10,0.066018,0.009476,0.056542,0.056540,32768
8,0.094299,0.009807,0.084492,0.084488,32768
72,0.094656,0.010106,0.084550,0.084547,32768
56,0.105459,0.009807,0.095652,0.095647,32768
120,0.105571,0.010474,0.095097,0.095097,32768
68,0.084798,0.009705,0.075093,0.075092,32768
4,0.084815,0.009744,0.075071,0.075068,32768
92,0.074270,0.009774,0.064496,0.064493,32768
28,0.074054,0.009807,0.064247,0.064245,32768
114,0.065430,0.009839,0.055591,0.055590,32768
50,0.065446,0.009823,0.055623,0.055619,32768
82,0.065395,0.008780,0.056615,0.056614,32768
18,0.065439,0.009696,0.055743,0.055740,32768
17,0.052323,0.009834,0.042489,0.042487,32768
66,0.057769,0.009551,0.048218,0.048217,32768
2,0.057746,0.009743,0.048003,0.048002,32768
54,0.057781,0.009716,0.048065,0.048064,32768
118,0.057768,0.009715,0.048053,0.048045,32768
39,0.045572,0.009715,0.035857,0.035852,32768
31,0.044736,0.008793,0.035943,0.035942,32768
113,0.052274,0.009064,0.043210,0.043207,32768
49,0.052392,0.009942,0.042450,0.042449,32768
33,0.045602,0.010755,0.034847,0.034841,32768
97,0.045509,0.010417,0.035092,0.035079,32768
34,0.055557,0.009570,0.045987,0.045984,32768
93,0.051461,0.010248,0.041213,0.041207,32768
78,0.067393,0.009432,0.057961,0.057951,32768
14,0.067501,0.009441,0.058060,0.058059,32768
37,0.043113,0.009762,0.033351,0.033347,32768
5,0.045564,0.010078,0.035486,0.035484,32768
69,0.045690,0.009845,0.035845,0.035842,32768
65,0.039154,0.009874,0.029280,0.029277,32768
1,0.039109,0.009799,0.029310,0.029309,32768
125,0.051495,0.009712,0.041783,0.041783,32768
61,0.050744,0.009623,0.041121,0.041114,32768
35,0.047663,0.009726,0.037937,0.037933,32768
99,0.047590,0.009942,0.037648,0.037644,32768
123,0.054810,0.010010,0.044800,0.044794,32768
79,0.042653,0.009891,0.032762,0.032758,32768
15,0.042680,0.009547,0.033133,0.033125,32768
116,0.073857,0.009735,0.064122,0.064119,32768
77,0.053467,0.009994,0.043473,0.043471,32768
74,0.066326,0.009843,0.056483,0.056478,32768
90,0.058049,0.009679,0.048370,0.048370,32768
26,0.058050,0.008921,0.049129,0.049125,32768
84,0.074586,0.009854,0.064732,0.064728,32768
20,0.074146,0.009701,0.064445,0.064443,32768
51,0.044605,0.009748,0.034857,0.034857,32768
115,0.044476,0.009664,0.034812,0.034809,32768
42,0.066303,0.009872,0.056431,0.056430,32768
106,0.066365,0.009978,0.056387,0.056384,32768
6,0.057753,0.009945,0.047808,0.047802,32768
67,0.047588,0.009546,0.038042,0.038038,32768
25,0.044416,0.009662,0.034754,0.034750,32768
22,0.057610,0.008778,0.048832,0.048830,32768
109,0.053527,0.009856,0.043671,0.043671,32768
53,0.045720,0.010022,0.035698,0.035696,32768
121,0.043461,0.009719,0.033742,0.033738,32768
95,0.044768,0.009683,0.035085,0.035082,32768
86,0.057671,0.009745,0.047926,0.047923,32768
44,0.087519,0.010066,0.077453,0.077452,32768
100,0.084829,0.009846,0.074983,0.074982,32768
70,0.057739,0.009788,0.047951,0.047949,32768
38,0.057744,0.009722,0.048022,0.048021,32768
102,0.057746,0.009900,0.047846,0.047839,32768
11,0.057373,0.009645,0.047728,0.047726,32768
105,0.045254,0.009596,0.035658,0.035654,32768
41,0.045228,0.009470,0.035758,0.035756,32768
21,0.048224,0.009725,0.038499,0.038495,32768
127,0.044658,0.010214,0.034444,0.034442,32768
63,0.044664,0.009573,0.035091,0.035088,32768
55,0.054617,0.009645,0.044972,0.044968,32768
98,0.055552,0.009726,0.045826,0.045820,32768
91,0.054656,0.010113,0.044543,0.044541,32768
57,0.038534,0.009836,0.028698,0.028694,32768
47,0.042372,0.009647,0.032725,0.032722,32768
103,0.045600,0.009607,0.035993,0.035990,32768
45,0.053527,0.009773,0.043754,0.043750,32768
36,0.084855,0.009703,0.075152,0.075150,32768
101,0.043138,0.009469,0.033669,0.033668,32768
111,0.042577,0.009559,0.033018,0.033014,32768
59,0.054917,0.009721,0.045196,0.045192,32768
27,0.054516,0.008967,0.045549,0.045546,32768
13,0.053500,0.009242,0.044258,0.044257,32768
107,0.057365,0.009878,0.047487,0.047485,32768
58,0.054325,0.009737,0.044588,0.044585,32768
60,0.073847,0.010354,0.063493,0.063489,32768
46,0.067492,0.009977,0.057515,0.057510,32768
110,0.067465,0.009818,0.057647,0.057643,32768
96,0.136861,0.009457,0.127404,0.127400,32768
32,0.136923,0.009440,0.127483,0.127475,32768
16,0.123638,0.009361,0.114277,0.114274,32768
80,0.123637,0.009496,0.114141,0.114136,32768
85,0.048168,0.009729,0.038439,0.038436,32768
9,0.045198,0.008632,0.036566,0.036564,32768
73,0.045216,0.010257,0.034959,0.034957,32768
7,0.044188,0.009723,0.034465,0.034462,32768
71,0.044635,0.010102,0.034533,0.034529,32768
94,0.064540,0.009688,0.054852,0.054846,32768
30,0.064557,0.009696,0.054861,0.054859,32768
52,0.073905,0.010027,0.063878,0.063875,32768
3,0.047566,0.009702,0.037864,0.037863,32768
81,0.052332,0.009564,0.042768,0.042766,32768
40,0.094044,0.009575,0.084469,0.084464,32768
117,0.045664,0.009029,0.036635,0.036630,32768
43,0.057327,0.010090,0.047237,0.047235,32768
104,0.094203,0.010027,0.084176,0.084173,32768
83,0.044591,0.009493,0.035098,0.035095,32768
19,0.044608,0.009836,0.034772,0.034771,32768
122,0.055383,0.008856,0.046527,0.046518,32768
88,0.105532,0.009923,0.095609,0.095605,32768
24,0.105397,0.009646,0.095751,0.095749,32768
23,0.054500,0.009035,0.045465,0.045456,32768
87,0.054606,0.009748,0.044858,0.044856,32768
119,0.054624,0.009758,0.044866,0.044861,32768
108,0.087609,0.009834,0.077775,0.077770,32768
124,0.074168,0.010083,0.064085,0.064081,32768
89,0.045206,0.009740,0.035466,0.035464,32768
48,0.123596,0.008560,0.115036,0.115032,32768
112,0.123666,0.009407,0.114259,0.114258,32768
75,0.057237,0.009724,0.047513,0.047506,32768
