Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
128,3.176412,2.146401,1.030011,1.030006,2097152
64,3.172342,2.093580,1.078762,1.078758,2097152
0,3.173074,2.093913,1.079161,1.079153,2097152
192,3.172393,2.086858,1.085535,1.085529,2097152
143,3.153520,2.082774,1.070746,1.070739,2097152
179,3.148071,2.098500,1.049571,1.049566,2097152
51,3.148269,2.087066,1.061203,1.061196,2097152
243,3.148104,2.093272,1.054832,1.054829,2097152
115,3.147317,2.068705,1.078612,1.078606,2097152
134,3.148363,2.093114,1.055249,1.055247,2097152
6,3.145331,2.108504,1.036827,1.036821,2097152
70,3.148791,2.103329,1.045462,1.045459,2097152
198,3.149045,2.105588,1.043457,1.043451,2097152
132,3.164557,2.087760,1.076797,1.076791,2097152
4,3.166163,2.084443,1.081720,1.081715,2097152
8,3.153565,2.102485,1.051080,1.051079,2097152
72,3.151914,2.078532,1.073382,1.073376,2097152
210,3.169279,2.078243,1.091036,1.091026,2097152
82,3.170710,2.082540,1.088170,1.088163,2097152
146,3.171431,2.090839,1.080592,1.080589,2097152
18,3.171128,2.077343,1.093785,1.093780,2097152
190,3.168771,2.090360,1.078411,1.078405,2097152
62,3.168851,2.086238,1.082613,1.082610,2097152
254,3.168960,2.084405,1.084555,1.084550,2097152
126,3.168148,2.065702,1.102446,1.102444,2097152
17,3.151081,2.098173,1.052908,1.052900,2097152
53,3.139668,2.094974,1.044694,1.044690,2097152
181,3.139970,2.081368,1.058602,1.058601,2097152
245,3.138733,2.077272,1.061461,1.061457,2097152
117,3.132937,2.094063,1.038874,1.038871,2097152
57,3.108441,2.095041,1.013400,1.013394,2097152
197,3.137454,2.082336,1.055118,1.055111,2097152
5,3.136198,2.089444,1.046754,1.046747,2097152
69,3.137754,2.089209,1.048545,1.048540,2097152
133,3.133395,2.085141,1.048254,1.048247,2097152
147,3.140052,2.091337,1.048715,1.048710,2097152
19,3.139959,2.087891,1.052068,1.052062,2097152
83,3.131872,2.077026,1.054846,1.054842,2097152
211,3.139145,2.071385,1.067760,1.067752,2097152
191,3.154882,2.081847,1.073035,1.073030,2097152
63,3.154891,2.093328,1.061563,1.061558,2097152
255,3.155162,2.089237,1.065925,1.065923,2097152
127,3.154675,2.071888,1.082787,1.082780,2097152
42,3.145420,2.091464,1.053956,1.053950,2097152
170,3.145199,2.081100,1.064099,1.064092,2097152
234,3.145377,2.091067,1.054310,1.054306,2097152
106,3.145196,2.085229,1.059967,1.059956,2097152
158,3.164412,2.094234,1.070178,1.070174,2097152
30,3.164207,2.081899,1.082308,1.082303,2097152
222,3.160688,2.087048,1.073640,1.073636,2097152
94,3.163462,2.073992,1.089470,1.089465,2097152
16,3.171902,2.105268,1.066634,1.066628,2097152
208,3.168147,2.079330,1.088817,1.088811,2097152
144,3.172572,2.090492,1.082080,1.082076,2097152
80,3.170110,2.075068,1.095042,1.095039,2097152
244,3.172138,2.068286,1.103852,1.103842,2097152
180,3.172845,2.090906,1.081939,1.081934,2097152
52,3.172657,2.076758,1.095899,1.095898,2097152
116,3.169247,2.086363,1.082884,1.082878,2097152
148,3.166270,2.091205,1.075065,1.075064,2097152
20,3.166192,2.086309,1.079883,1.079877,2097152
212,3.165232,2.075352,1.089880,1.089869,2097152
84,3.161542,2.075057,1.086485,1.086477,2097152
78,3.164882,2.070035,1.094847,1.094844,2097152
23,3.132434,2.083232,1.049202,1.049197,2097152
151,3.130843,2.088388,1.042455,1.042449,2097152
215,3.132902,2.097005,1.035897,1.035895,2097152
87,3.131605,2.083332,1.048273,1.048266,2097152
200,3.152756,2.067230,1.085526,1.085521,2097152
136,3.153659,2.090669,1.062990,1.062984,2097152
177,3.153698,2.083778,1.069920,1.069916,2097152
241,3.156451,2.100099,1.056352,1.056350,2097152
113,3.155561,2.089190,1.066371,1.066365,2097152
49,3.156247,2.101058,1.055189,1.055181,2097152
15,3.153547,2.091044,1.062503,1.062497,2097152
79,3.153371,2.076695,1.076676,1.076673,2097152
207,3.153257,2.072802,1.080455,1.080447,2097152
209,3.149465,2.094685,1.054780,1.054770,2097152
159,3.153186,2.090552,1.062634,1.062627,2097152
138,3.143452,2.090835,1.052617,1.052611,2097152
187,3.138196,2.090778,1.047418,1.047413,2097152
59,3.137974,2.076563,1.061411,1.061402,2097152
251,3.137595,2.082194,1.055401,1.055397,2097152
123,3.136645,2.068259,1.068386,1.068380,2097152
142,3.165529,2.102168,1.063361,1.063355,2097152
242,3.179219,2.073861,1.105358,1.105355,2097152
114,3.178883,2.084916,1.093967,1.093963,2097152
50,3.179069,2.076858,1.102211,1.102210,2097152
178,3.177151,2.090331,1.086820,1.086813,2097152
37,3.139341,2.093282,1.046059,1.046055,2097152
54,3.153897,2.087125,1.066772,1.066769,2097152
182,3.153965,2.086846,1.067119,1.067114,2097152
246,3.152962,2.078080,1.074882,1.074880,2097152
118,3.148397,2.094084,1.054313,1.054306,2097152
173,3.140994,2.092827,1.048167,1.048158,2097152
12,3.158905,2.090106,1.068799,1.068798,2097152
140,3.158614,2.090287,1.068327,1.068323,2097152
204,3.159005,2.092717,1.066288,1.066283,2097152
76,3.158906,2.079571,1.079335,1.079327,2097152
154,3.126318,2.070883,1.055435,1.055432,2097152
26,3.126203,2.087948,1.038255,1.038251,2097152
90,3.124389,2.079072,1.045317,1.045314,2097152
248,3.148049,2.063183,1.084866,1.084861,2097152
184,3.149617,2.079727,1.069890,1.069882,2097152
120,3.149689,2.084697,1.064992,1.064989,2097152
56,3.149519,2.095287,1.054232,1.054227,2097152
39,3.127024,2.096269,1.030755,1.030750,2097152
172,3.159601,2.081203,1.078398,1.078387,2097152
