Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
12,0.230848,0.197635,0.033213,0.025441,512
8,0.230870,0.198318,0.032552,0.030772,512
4,0.230861,0.198134,0.032727,0.031151,512
0,0.230876,0.198101,0.032775,0.021176,512
14,0.230870,0.198112,0.032758,0.031368,512
10,0.230883,0.198498,0.032385,0.030784,512
5,0.214146,0.198480,0.015666,0.014187,512
1,0.214137,0.198771,0.015366,0.014231,512
13,0.214143,0.198145,0.015998,0.014324,512
6,0.230883,0.198500,0.032383,0.031167,512
2,0.230894,0.198800,0.032094,0.031067,512
9,0.214137,0.198468,0.015669,0.013932,512
7,0.214118,0.198175,0.015943,0.014293,512
3,0.214118,0.198445,0.015673,0.004027,512
15,0.214110,0.197747,0.016363,0.008497,512
11,0.214116,0.198109,0.016007,0.014149,512
