Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
32,3.251233,3.196827,0.054406,0.054398,10240
0,3.251504,3.208688,0.042816,0.042808,10240
2,3.251212,3.209246,0.041966,0.041960,10240
34,3.251686,3.205954,0.045732,0.045728,10240
9,3.251555,3.211851,0.039704,0.039698,10240
53,3.251225,3.200013,0.051212,0.051204,10240
21,3.252568,3.212673,0.039895,0.039887,10240
36,3.251741,3.200397,0.051344,0.051337,10240
19,3.252170,3.207178,0.044992,0.044989,10240
54,3.250970,3.199960,0.051010,0.051003,10240
22,3.252922,3.212626,0.040296,0.040288,10240
16,3.252821,3.207784,0.045037,0.045022,10240
48,3.249913,3.197669,0.052244,0.052241,10240
38,3.251878,3.204767,0.047111,0.047102,10240
6,3.252263,3.210012,0.042251,0.042249,10240
51,3.251045,3.202752,0.048293,0.048285,10240
31,3.252884,3.209248,0.043636,0.043628,10240
12,3.252109,3.214621,0.037488,0.037479,10240
5,3.252189,3.209592,0.042597,0.042589,10240
10,3.251680,3.210876,0.040804,0.040794,10240
42,3.251126,3.200655,0.050471,0.050466,10240
4,3.252041,3.208581,0.043460,0.043452,10240
25,3.251942,3.210913,0.041029,0.041023,10240
57,3.251035,3.199068,0.051967,0.051958,10240
63,3.251260,3.197343,0.053917,0.053915,10240
28,3.252247,3.213936,0.038311,0.038303,10240
13,3.252364,3.213122,0.039242,0.039237,10240
45,3.251395,3.202673,0.048722,0.048714,10240
24,3.252088,3.206627,0.045461,0.045459,10240
56,3.250694,3.194789,0.055905,0.055896,10240
60,3.251383,3.203775,0.047608,0.047596,10240
14,3.252391,3.215115,0.037276,0.037274,10240
52,3.251109,3.200597,0.050512,0.050502,10240
23,3.252856,3.209091,0.043765,0.043762,10240
44,3.251198,3.200281,0.050917,0.050910,10240
41,3.250694,3.201197,0.049497,0.049487,10240
58,3.250793,3.198005,0.052788,0.052776,10240
17,3.251967,3.211836,0.040131,0.040124,10240
20,3.252315,3.217487,0.034828,0.034824,10240
37,3.251990,3.200138,0.051852,0.051841,10240
46,3.251349,3.200648,0.050701,0.050691,10240
61,3.251658,3.199769,0.051889,0.051879,10240
29,3.252370,3.210465,0.041905,0.041897,10240
27,3.252037,3.212433,0.039604,0.039597,10240
59,3.250839,3.198139,0.052700,0.052693,10240
43,3.251230,3.200386,0.050844,0.050834,10240
62,3.251871,3.199901,0.051970,0.051959,10240
49,3.250551,3.206084,0.044467,0.044466,10240
26,3.251880,3.212584,0.039296,0.039290,10240
55,3.250876,3.199737,0.051139,0.051123,10240
11,3.252069,3.211574,0.040495,0.040489,10240
1,3.251295,3.209290,0.042005,0.042003,10240
33,3.251559,3.200770,0.050789,0.050779,10240
7,3.252162,3.210635,0.041527,0.041525,10240
39,3.252014,3.201001,0.051013,0.051005,10240
3,3.251817,3.210078,0.041739,0.041735,10240
35,3.251677,3.200397,0.051280,0.051279,10240
30,3.252329,3.209431,0.042898,0.042892,10240
8,3.251948,3.206802,0.045146,0.045138,10240
40,3.250684,3.197143,0.053541,0.053529,10240
50,3.250471,3.202071,0.048400,0.048390,10240
18,3.251809,3.207901,0.043908,0.043899,10240
47,3.251029,3.198475,0.052554,0.052544,10240
15,3.253107,3.210291,0.042816,0.042810,10240
