Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
768,0.387633,0.199493,0.188140,0.181946,5120
960,0.387618,0.199578,0.188040,0.181238,5120
896,0.387631,0.199539,0.188092,0.182908,5120
0,0.387621,0.199213,0.188408,0.184931,5120
512,0.387661,0.200788,0.186873,0.178490,5120
256,0.387633,0.199536,0.188097,0.178145,5120
320,0.387615,0.199514,0.188101,0.184707,5120
704,0.387615,0.199634,0.187981,0.178783,5120
448,0.387615,0.199519,0.188096,0.183793,5120
192,0.387621,0.199716,0.187905,0.182038,5120
640,0.387635,0.199711,0.187924,0.179927,5120
384,0.387634,0.199619,0.188015,0.178093,5120
158,0.389870,0.199922,0.189948,0.181216,5120
758,0.392664,0.199822,0.192842,0.132783,5120
338,0.392028,0.199835,0.192193,0.184400,5120
658,0.392273,0.200016,0.192257,0.182478,5120
722,0.392028,0.199732,0.192296,0.185036,5120
274,0.392261,0.200023,0.192238,0.185392,5120
210,0.392023,0.199799,0.192224,0.186890,5120
474,0.393284,0.199854,0.193430,0.181849,5120
90,0.393283,0.199879,0.193404,0.184090,5120
410,0.393296,0.199911,0.193385,0.186352,5120
538,0.393296,0.200016,0.193280,0.188882,5120
986,0.393287,0.199822,0.193465,0.189680,5120
154,0.393293,0.199798,0.193495,0.187485,5120
730,0.393285,0.199900,0.193385,0.187232,5120
218,0.393281,0.199891,0.193390,0.188563,5120
858,0.393284,0.199970,0.193314,0.189253,5120
346,0.393287,0.199887,0.193400,0.188785,5120
282,0.393857,0.202097,0.191760,0.190411,5120
602,0.393285,0.199822,0.193463,0.188289,5120
794,0.393293,0.199916,0.193377,0.184028,5120
693,0.392574,0.199779,0.192795,0.187771,5120
117,0.392566,0.199961,0.192605,0.184589,5120
629,0.392565,0.199716,0.192849,0.189220,5120
949,0.392569,0.199909,0.192660,0.182787,5120
437,0.392575,0.200027,0.192548,0.188682,5120
53,0.392575,0.200051,0.192524,0.185280,5120
821,0.392576,0.199902,0.192674,0.191286,5120
309,0.392571,0.199880,0.192691,0.190434,5120
757,0.392561,0.199723,0.192838,0.186274,5120
245,0.392562,0.199894,0.192668,0.190320,5120
565,0.392600,0.201092,0.191508,0.186474,5120
501,0.392561,0.199812,0.192749,0.189301,5120
885,0.392561,0.199746,0.192815,0.185446,5120
1013,0.392555,0.199426,0.193129,0.187817,5120
181,0.392577,0.199976,0.192601,0.188990,5120
373,0.392561,0.199809,0.192752,0.188246,5120
678,0.380051,0.199815,0.180236,0.174007,5120
998,0.379296,0.199458,0.179838,0.173499,5120
550,0.380055,0.199981,0.180074,0.173931,5120
806,0.380056,0.199851,0.180205,0.168554,5120
934,0.380048,0.199863,0.180185,0.173108,5120
742,0.379313,0.200066,0.179247,0.173345,5120
358,0.379317,0.199884,0.179433,0.173093,5120
166,0.380052,0.199992,0.180060,0.176091,5120
614,0.379315,0.199860,0.179455,0.168565,5120
102,0.379311,0.199911,0.179400,0.171882,5120
870,0.379316,0.199984,0.179332,0.169916,5120
348,0.391980,0.199795,0.192185,0.181236,5120
220,0.391988,0.199971,0.192017,0.179459,5120
668,0.392229,0.199841,0.192388,0.184786,5120
924,0.392227,0.199827,0.192400,0.187571,5120
860,0.391977,0.199979,0.191998,0.183066,5120
412,0.392238,0.199850,0.192388,0.184213,5120
796,0.392229,0.199897,0.192332,0.183938,5120
988,0.391985,0.199859,0.192126,0.180822,5120
540,0.392222,0.199840,0.192382,0.183885,5120
28,0.392219,0.199454,0.192765,0.186397,5120
284,0.392236,0.199836,0.192400,0.179640,5120
604,0.391983,0.199790,0.192193,0.185419,5120
92,0.391976,0.199861,0.192115,0.185017,5120
732,0.391976,0.199877,0.192099,0.187800,5120
156,0.392247,0.201075,0.191172,0.176755,5120
476,0.391994,0.199943,0.192051,0.181724,5120
767,0.388525,0.199583,0.188942,0.178912,5120
255,0.388529,0.199830,0.188699,0.180714,5120
191,0.389413,0.199595,0.189818,0.186687,5120
511,0.388509,0.199376,0.189133,0.185804,5120
895,0.388517,0.199370,0.189147,0.183547,5120
319,0.389415,0.199459,0.189956,0.184356,5120
703,0.389410,0.199511,0.189899,0.180577,5120
447,0.389452,0.200631,0.188821,0.181409,5120
127,0.388516,0.199466,0.189050,0.186843,5120
1023,0.388499,0.198966,0.189533,0.184250,5120
575,0.389414,0.199489,0.189925,0.183437,5120
831,0.389414,0.199433,0.189981,0.187275,5120
63,0.389419,0.200004,0.189415,0.183576,5120
383,0.388512,0.199493,0.189019,0.180476,5120
639,0.388514,0.199399,0.189115,0.178014,5120
959,0.389415,0.199503,0.189912,0.180252,5120
650,0.382416,0.200880,0.181536,0.174629,5120
778,0.382409,0.200868,0.181541,0.175258,5120
394,0.382418,0.201000,0.181418,0.179796,5120
842,0.382160,0.200821,0.181339,0.175179,5120
970,0.382159,0.200741,0.181418,0.174407,5120
458,0.382159,0.200826,0.181333,0.173776,5120
74,0.382157,0.200683,0.181474,0.174267,5120
906,0.382416,0.200925,0.181491,0.177243,5120
522,0.382412,0.200799,0.181613,0.175771,5120
202,0.382174,0.200943,0.181231,0.172524,5120
586,0.382157,0.200907,0.181250,0.173398,5120
138,0.382407,0.201032,0.181375,0.175600,5120
10,0.382395,0.200343,0.182052,0.173528,5120
330,0.382166,0.200838,0.181328,0.179135,5120
266,0.382418,0.201867,0.180551,0.173971,5120
714,0.382159,0.200746,0.181413,0.178989,5120
243,0.392309,0.199821,0.192488,0.183968,5120
535,0.392845,0.200992,0.191853,0.133033,5120
663,0.392840,0.199917,0.192923,0.132662,5120
599,0.392813,0.199844,0.192969,0.138736,5120
151,0.392843,0.199841,0.193002,0.132261,5120
919,0.392838,0.199845,0.192993,0.171443,5120
23,0.392824,0.199362,0.193462,0.149938,5120
407,0.392844,0.199939,0.192905,0.136278,5120
791,0.392846,0.199853,0.192993,0.132749,5120
279,0.392846,0.199798,0.193048,0.132562,5120
727,0.392836,0.200084,0.192752,0.131578,5120
471,0.392813,0.199758,0.193055,0.133301,5120
855,0.392817,0.199786,0.193031,0.169335,5120
87,0.392821,0.199893,0.192928,0.129784,5120
431,0.391131,0.199952,0.191179,0.184676,5120
687,0.391156,0.201017,0.190139,0.185594,5120
303,0.391123,0.199883,0.191240,0.189465,5120
943,0.391128,0.199872,0.191256,0.186717,5120
175,0.391128,0.199925,0.191203,0.186178,5120
751,0.390914,0.199860,0.191054,0.184620,5120
495,0.390929,0.200061,0.190868,0.188804,5120
1007,0.390906,0.199395,0.191511,0.186568,5120
265,0.381926,0.201850,0.180076,0.173201,5120
560,0.391354,0.200201,0.191153,0.181458,5120
207,0.390696,0.199769,0.190927,0.185833,5120
420,0.381948,0.200176,0.181772,0.175476,5120
537,0.393512,0.199786,0.193726,0.171825,5120
345,0.393508,0.199733,0.193775,0.130303,5120
601,0.393510,0.199807,0.193703,0.128428,5120
665,0.393514,0.199826,0.193688,0.126271,5120
25,0.393502,0.199368,0.194134,0.124185,5120
793,0.393514,0.199821,0.193693,0.162334,5120
409,0.393855,0.201359,0.192496,0.131533,5120
281,0.393511,0.199968,0.193543,0.130395,5120
153,0.393520,0.200011,0.193509,0.129021,5120
729,0.393511,0.199683,0.193828,0.164209,5120
89,0.393510,0.199761,0.193749,0.125160,5120
473,0.393512,0.199666,0.193846,0.165151,5120
921,0.393517,0.199814,0.193703,0.130545,5120
217,0.393516,0.200070,0.193446,0.129688,5120
857,0.393514,0.199833,0.193681,0.129170,5120
985,0.393511,0.199764,0.193747,0.130839,5120
866,0.385668,0.199789,0.185879,0.179177,5120
354,0.385672,0.199903,0.185769,0.175665,5120
994,0.385661,0.199412,0.186249,0.182523,5120
546,0.385683,0.199801,0.185882,0.174262,5120
