Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
8,0.327525,0.018236,0.309289,0.270362,512000
20,0.327548,0.019189,0.308359,0.305735,512000
24,0.327538,0.018882,0.308656,0.276972,512000
28,0.327556,0.018970,0.308586,0.289890,512000
16,0.327529,0.018278,0.309251,0.271519,512000
12,0.327592,0.019572,0.308020,0.302146,512000
4,0.327557,0.019190,0.308367,0.305829,512000
0,0.327535,0.018405,0.309130,0.274225,512000
15,0.315663,0.019722,0.295941,0.289653,512000
31,0.315647,0.019475,0.296172,0.276588,512000
11,0.315589,0.018206,0.297383,0.259536,512000
23,0.315668,0.019887,0.295781,0.292384,512000
27,0.315580,0.018029,0.297551,0.262781,512000
3,0.315587,0.018182,0.297405,0.272685,512000
19,0.315588,0.017916,0.297672,0.259742,512000
7,0.315625,0.019336,0.296289,0.290875,512000
25,0.315602,0.018551,0.297051,0.255299,512000
18,0.327539,0.018378,0.309161,0.274294,512000
30,0.327567,0.018947,0.308620,0.304092,512000
14,0.327562,0.018969,0.308593,0.305477,512000
10,0.327531,0.018309,0.309222,0.280532,512000
6,0.327577,0.018993,0.308584,0.303815,512000
22,0.327569,0.019261,0.308308,0.303096,512000
2,0.327528,0.018611,0.308917,0.286668,512000
26,0.327531,0.018310,0.309221,0.261890,512000
17,0.315614,0.018650,0.296964,0.261234,512000
1,0.315622,0.018918,0.296704,0.270696,512000
21,0.315692,0.020542,0.295150,0.290611,512000
29,0.315706,0.020642,0.295064,0.291531,512000
5,0.315689,0.020763,0.294926,0.292906,512000
13,0.315691,0.020826,0.294865,0.292155,512000
9,0.315611,0.018584,0.297027,0.264328,512000
