Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
0,6.047481,5.229664,0.817817,0.817808,5792
896,5.921386,5.319400,0.601986,0.601963,5792
640,5.987350,5.261857,0.725493,0.725477,5792
768,5.966289,5.280810,0.685479,0.685466,5792
1088,5.999360,5.362639,0.636721,0.636710,5792
320,6.065281,5.221060,0.844221,0.844208,5792
960,5.931967,5.326307,0.605660,0.605647,5792
1152,6.025295,5.305137,0.720158,0.720149,5792
64,6.028863,5.266001,0.762862,0.762856,5792
192,6.031215,5.252392,0.778823,0.778812,5792
128,6.094092,5.152194,0.941898,0.941890,5792
384,5.988803,5.312825,0.675978,0.675965,5792
256,6.043095,5.348125,0.694970,0.694960,5792
514,5.947235,5.233740,0.713495,0.713492,5792
898,5.903868,5.270282,0.633586,0.633577,5792
66,5.973838,5.065993,0.907845,0.907836,5792
386,5.930389,5.211081,0.719308,0.719297,5792
1090,5.924784,5.141300,0.783484,0.783473,5792
450,6.023483,5.003219,1.020264,1.020251,5792
847,5.896376,5.034241,0.862135,0.862132,5792
361,6.021721,5.223442,0.798279,0.798272,5792
88,6.057959,4.998453,1.059506,1.059491,5792
530,5.998234,5.083359,0.914875,0.914862,5792
786,5.889764,5.237922,0.651842,0.651828,5792
936,5.923028,5.208144,0.714884,0.714869,5792
1256,5.956449,4.967993,0.988456,0.988441,5792
616,5.971736,4.950613,1.021123,1.021105,5792
680,5.966793,5.219380,0.747413,0.747410,5792
1128,5.950093,4.948042,1.002051,1.002033,5792
808,5.947289,5.156056,0.791233,0.791215,5792
296,6.016887,5.097875,0.919012,0.919003,5792
1192,6.014518,5.204079,0.810439,0.810429,5792
1000,5.893324,4.958407,0.934917,0.934902,5792
744,5.856740,4.978884,0.877856,0.877845,5792
1064,6.012016,5.115690,0.896326,0.896314,5792
488,6.059741,4.851241,1.208500,1.208489,5792
12,6.006644,5.341007,0.665637,0.665628,5792
1036,5.957280,5.286885,0.670395,0.670390,5792
204,6.024053,5.137087,0.886966,0.886960,5792
1164,6.000471,5.350231,0.650240,0.650228,5792
268,6.009049,5.318950,0.690099,0.690086,5792
546,5.897044,5.202704,0.694340,0.694334,5792
674,5.872115,5.242944,0.629171,0.629158,5792
290,6.065065,4.977326,1.087739,1.087731,5792
482,5.992501,4.972323,1.020178,1.020166,5792
1186,5.973831,5.163564,0.810267,0.810259,5792
418,6.002910,5.120462,0.882448,0.882437,5792
610,5.964062,5.071209,0.892853,0.892848,5792
34,5.969194,5.055850,0.913344,0.913332,5792
1058,5.918544,5.157767,0.760777,0.760764,5792
1250,5.987846,5.038124,0.949722,0.949708,5792
866,5.941767,5.086818,0.854949,0.854935,5792
226,5.943686,4.967654,0.976032,0.976017,5792
98,5.959442,5.039656,0.919786,0.919772,5792
162,6.019012,5.293725,0.725287,0.725277,5792
