Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
64,2.176887,2.000441,0.176446,0.176432,579200
0,2.176465,1.998113,0.178352,0.178336,579200
61,2.174456,1.991236,0.183220,0.183202,579200
11,2.173222,1.987487,0.185735,0.185717,579200
75,2.173401,1.979035,0.194366,0.194350,579200
14,2.174794,1.994580,0.180214,0.180199,579200
78,2.174187,1.982541,0.191646,0.191622,579200
47,2.175928,1.986930,0.188998,0.188985,579200
111,2.175556,1.971768,0.203788,0.203769,579200
29,2.174451,1.987341,0.187110,0.187090,579200
93,2.174833,1.995240,0.179593,0.179581,579200
30,2.174074,1.989588,0.184486,0.184471,579200
12,2.173852,1.985878,0.187974,0.187963,579200
114,2.174299,1.987138,0.187161,0.187135,579200
50,2.174893,1.986204,0.188689,0.188671,579200
67,2.173532,1.977150,0.196382,0.196365,579200
51,2.173619,1.987802,0.185817,0.185807,579200
32,2.176684,2.006529,0.170155,0.170135,579200
96,2.176912,2.002301,0.174611,0.174603,579200
68,2.173273,1.979221,0.194052,0.194036,579200
95,2.176417,2.001112,0.175305,0.175287,579200
31,2.175860,1.981146,0.194714,0.194702,579200
9,2.173232,1.990391,0.182841,0.182820,579200
3,2.176085,1.990716,0.185369,0.185356,579200
7,2.171284,1.988770,0.182514,0.182497,579200
23,2.171096,1.985091,0.186005,0.185988,579200
87,2.171607,1.997897,0.173710,0.173693,579200
116,2.173715,1.986034,0.187681,0.187666,579200
103,2.172155,1.996856,0.175299,0.175287,579200
73,2.173289,1.986401,0.186888,0.186873,579200
115,2.174434,2.005518,0.168916,0.168902,579200
92,2.174573,1.998026,0.176547,0.176527,579200
28,2.173804,1.985650,0.188154,0.188143,579200
110,2.174392,1.980460,0.193932,0.193917,579200
46,2.174574,1.983938,0.190636,0.190620,579200
48,2.176510,1.995867,0.180643,0.180630,579200
6,2.171271,1.993388,0.177883,0.177860,579200
70,2.170798,1.979007,0.191791,0.191773,579200
113,2.176022,1.982025,0.193997,0.193982,579200
49,2.175413,1.985920,0.189493,0.189480,579200
71,2.171120,1.987754,0.183366,0.183348,579200
4,2.173884,1.989952,0.183932,0.183913,579200
21,2.172004,1.992879,0.179125,0.179109,579200
85,2.172440,1.991887,0.180553,0.180532,579200
99,2.173910,1.978377,0.195533,0.195519,579200
35,2.175599,1.992924,0.182675,0.182663,579200
38,2.172034,1.989574,0.182460,0.182447,579200
102,2.172432,1.998967,0.173465,0.173450,579200
1,2.175646,1.984675,0.190971,0.190959,579200
94,2.174358,1.980824,0.193534,0.193507,579200
97,2.176828,1.996516,0.180312,0.180296,579200
118,2.172724,1.984363,0.188361,0.188343,579200
107,2.173937,1.990297,0.183640,0.183625,579200
66,2.174951,1.977267,0.197684,0.197666,579200
2,2.174273,1.991450,0.182823,0.182801,579200
120,2.171663,1.973937,0.197726,0.197709,579200
56,2.172366,1.992676,0.179690,0.179670,579200
20,2.172881,1.984204,0.188677,0.188664,579200
52,2.173743,1.992338,0.181405,0.181388,579200
76,2.173719,1.979327,0.194392,0.194371,579200
79,2.175418,1.979991,0.195427,0.195409,579200
36,2.173687,1.991397,0.182290,0.182276,579200
41,2.173317,2.001059,0.172258,0.172249,579200
62,2.174767,1.994391,0.180376,0.180365,579200
24,2.172688,1.988621,0.184067,0.184051,579200
121,2.173086,1.989386,0.183700,0.183675,579200
54,2.172691,1.985558,0.187133,0.187114,579200
112,2.176532,1.999114,0.177418,0.177403,579200
45,2.174537,1.994053,0.180484,0.180465,579200
105,2.173026,1.990973,0.182053,0.182038,579200
39,2.171559,1.991879,0.179680,0.179659,579200
37,2.173098,1.993075,0.180023,0.180002,579200
88,2.172860,1.994394,0.178466,0.178450,579200
55,2.171077,1.986132,0.184945,0.184934,579200
53,2.173907,1.994889,0.179018,0.179003,579200
117,2.173934,1.987065,0.186869,0.186855,579200
81,2.176380,1.981552,0.194828,0.194810,579200
43,2.174271,1.996091,0.178180,0.178160,579200
104,2.172372,1.997131,0.175241,0.175224,579200
40,2.172145,1.987385,0.184760,0.184745,579200
123,2.173227,1.973610,0.199617,0.199597,579200
59,2.174285,2.002129,0.172156,0.172135,579200
109,2.174772,1.995026,0.179746,0.179722,579200
58,2.173785,1.986247,0.187538,0.187524,579200
22,2.171816,1.993114,0.178702,0.178681,579200
57,2.172842,1.983336,0.189506,0.189490,579200
33,2.176392,1.995396,0.180996,0.180986,579200
86,2.172474,1.999416,0.173058,0.173038,579200
100,2.174063,2.001021,0.173042,0.173026,579200
27,2.173236,1.998982,0.174254,0.174242,579200
65,2.176245,1.995342,0.180903,0.180888,579200
25,2.173126,1.986653,0.186473,0.186462,579200
90,2.173903,1.997283,0.176620,0.176601,579200
5,2.173148,1.991035,0.182113,0.182094,579200
69,2.172905,1.988575,0.184330,0.184310,579200
106,2.173538,1.991409,0.182129,0.182109,579200
42,2.173306,1.993642,0.179664,0.179650,579200
16,2.176291,1.991945,0.184346,0.184330,579200
80,2.177058,2.006122,0.170936,0.170918,579200
10,2.173946,1.999406,0.174540,0.174525,579200
74,2.174074,2.004902,0.169172,0.169153,579200
13,2.174280,1.986631,0.187649,0.187633,579200
77,2.174217,1.986952,0.187265,0.187243,579200
60,2.174570,2.002672,0.171898,0.171881,579200
124,2.174109,1.992351,0.181758,0.181736,579200
119,2.170818,1.981720,0.189098,0.189081,579200
72,2.171806,1.980842,0.190964,0.190944,579200
8,2.172418,1.997354,0.175064,0.175049,579200
83,2.173901,1.990937,0.182964,0.182946,579200
19,2.174139,1.980398,0.193741,0.193730,579200
125,2.174381,1.993017,0.181364,0.181342,579200
26,2.173781,1.995307,0.178474,0.178458,579200
122,2.173202,1.989295,0.183907,0.183890,579200
63,2.175850,1.983176,0.192674,0.192665,579200
127,2.176372,1.992398,0.183974,0.183963,579200
18,2.175720,1.988021,0.187699,0.187687,579200
82,2.175078,1.977782,0.197296,0.197284,579200
44,2.174659,1.998334,0.176325,0.176307,579200
108,2.174431,1.991631,0.182800,0.182782,579200
84,2.173663,1.999154,0.174509,0.174492,579200
101,2.173219,1.987155,0.186064,0.186052,579200
89,2.173253,1.987458,0.185795,0.185778,579200
17,2.175982,1.987370,0.188612,0.188604,579200
91,2.173254,1.976461,0.196793,0.196783,579200
126,2.174261,1.977535,0.196726,0.196706,579200
15,2.175679,1.990321,0.185358,0.185348,579200
34,2.175538,1.996978,0.178560,0.178545,579200
98,2.175718,1.980135,0.195583,0.195575,579200
