#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 2
# ( 1278 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
0, 1000, 1.67, 1.67, 1.67, 0.00, 2
1, 1000, 1.68, 1.68, 1.68, 2.38, 2
2, 1000, 1.69, 1.69, 1.69, 4.73, 2
4, 1000, 1.69, 1.69, 1.69, 9.47, 2
8, 1000, 1.70, 1.70, 1.70, 18.83, 2
16, 1000, 1.73, 1.73, 1.73, 37.03, 2
32, 1000, 1.76, 1.76, 1.76, 72.91, 2
64, 1000, 1.82, 1.82, 1.82, 140.52, 2
128, 1000, 2.24, 2.24, 2.24, 228.54, 2
256, 1000, 2.52, 2.52, 2.52, 406.61, 2
512, 1000, 2.76, 2.76, 2.76, 741.41, 2
1024, 1000, 3.16, 3.16, 3.16, 1294.31, 2
2048, 1000, 3.95, 3.96, 3.95, 2071.26, 2
4096, 1000, 5.19, 5.20, 5.19, 3153.70, 2
8192, 1000, 7.85, 7.86, 7.85, 4171.35, 2
16384, 1000, 16.01, 16.01, 16.01, 4092.54, 2
32768, 1000, 23.27, 23.27, 23.27, 5631.75, 2
65536, 640, 36.78, 36.78, 36.78, 7126.63, 2
131072, 320, 66.78, 66.78, 66.78, 7850.92, 2
262144, 160, 123.92, 123.92, 123.92, 8461.46, 2
524288, 80, 234.69, 234.69, 234.69, 8935.67, 2
1048576, 40, 469.04, 469.05, 469.04, 8942.18, 2
2097152, 20, 967.70, 967.74, 967.72, 8668.27, 2
4194304, 10, 2136.91, 2136.92, 2136.91, 7851.13, 2

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 4
# ( 1276 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 1.59, 1.59, 1.59, 0.00, 4
, 1, 1000, 1.70, 1.70, 1.70, 2.35, 4
, 2, 1000, 1.68, 1.69, 1.68, 4.75, 4
, 4, 1000, 1.69, 1.69, 1.69, 9.48, 4
, 8, 1000, 1.72, 1.72, 1.72, 18.65, 4
, 16, 1000, 1.72, 1.73, 1.72, 37.10, 4
, 32, 1000, 1.78, 1.78, 1.78, 71.94, 4
, 64, 1000, 1.83, 1.83, 1.83, 140.03, 4
, 128, 1000, 2.26, 2.26, 2.26, 226.87, 4
, 256, 1000, 2.54, 2.54, 2.54, 402.36, 4
, 512, 1000, 2.79, 2.80, 2.80, 732.23, 4
, 1024, 1000, 3.26, 3.27, 3.27, 1253.91, 4
, 2048, 1000, 4.22, 4.22, 4.22, 1939.42, 4
, 4096, 1000, 5.47, 5.47, 5.47, 2994.61, 4
, 8192, 1000, 8.21, 8.21, 8.21, 3990.93, 4
, 16384, 1000, 17.43, 17.43, 17.43, 3759.43, 4
, 32768, 1000, 25.84, 25.85, 25.84, 5071.35, 4
, 65536, 640, 41.08, 41.08, 41.08, 6381.28, 4
, 131072, 320, 70.58, 70.61, 70.59, 7425.09, 4
, 262144, 160, 125.77, 125.83, 125.80, 8333.36, 4
, 524288, 80, 235.06, 235.22, 235.14, 8915.77, 4
, 1048576, 40, 470.38, 470.48, 470.44, 8914.88, 4
, 2097152, 20, 961.81, 963.56, 962.69, 8705.82, 4
, 4194304, 10, 2142.86, 2152.61, 2147.69, 7793.89, 4

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 8
# ( 1272 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 2.27, 2.27, 2.27, 0.00, 8
, 1, 1000, 2.35, 2.36, 2.36, 1.69, 8
