Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
20,25.806356,25.591552,0.214804,0.175337,57920
8,25.805471,25.568597,0.236874,0.220298,57920
28,25.805588,25.570358,0.235230,0.117667,57920
0,25.806710,25.592803,0.213907,0.068068,57920
16,25.809099,25.712423,0.096676,0.049614,57920
24,25.805971,25.581873,0.224098,0.076753,57920
4,25.806996,25.611351,0.195645,0.043388,57920
12,25.805787,25.575646,0.230141,0.189622,57920
9,25.798647,25.717449,0.081198,0.048060,57920
17,25.794737,25.622662,0.172075,0.144422,57920
1,25.794415,25.588292,0.206123,0.043620,57920
5,25.794416,25.599230,0.195186,0.152580,57920
13,25.794312,25.590130,0.204182,0.176410,57920
25,25.794602,25.596553,0.198049,0.052387,57920
29,25.793432,25.565552,0.227880,0.063128,57920
21,25.794240,25.588015,0.206225,0.063502,57920
22,25.805970,25.583837,0.222133,0.184805,57920
6,25.806500,25.595275,0.211225,0.055456,57920
10,25.806536,25.593319,0.213217,0.201538,57920
18,25.810614,25.733747,0.076867,0.043304,57920
14,25.806765,25.613150,0.193615,0.155676,57920
30,25.806326,25.593924,0.212402,0.082425,57920
26,25.806413,25.592802,0.213611,0.067070,57920
2,25.806089,25.579131,0.226958,0.055575,57920
23,25.794025,25.584196,0.209829,0.058429,57920
3,25.793714,25.571610,0.222104,0.096979,57920
31,25.795716,25.634472,0.161244,0.048131,57920
7,25.794566,25.596778,0.197788,0.137645,57920
19,25.794153,25.590346,0.203807,0.179081,57920
27,25.794166,25.589654,0.204512,0.088242,57920
15,25.794763,25.604827,0.189936,0.148555,57920
11,25.797257,25.711340,0.085917,0.038525,57920
