Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
224,12.895348,12.759339,0.136009,0.136002,40960
160,12.895130,12.764627,0.130503,0.130501,40960
0,12.895346,12.752230,0.143116,0.143109,40960
232,12.906436,12.780464,0.125972,0.125966,40960
40,12.898924,12.772914,0.126010,0.125999,40960
104,12.903626,12.771016,0.132610,0.132606,40960
168,12.903310,12.768237,0.135073,0.135068,40960
136,12.897495,12.769004,0.128491,0.128486,40960
8,12.900636,12.763924,0.136712,0.136709,40960
72,12.903628,12.767594,0.136034,0.136032,40960
200,12.908731,12.839899,0.068832,0.068823,40960
158,12.898507,12.768210,0.130297,0.130293,40960
250,12.899883,12.765669,0.134214,0.134212,40960
154,12.900274,12.771350,0.128924,0.128918,40960
90,12.901695,12.839788,0.061907,0.061905,40960
58,12.898356,12.776208,0.122148,0.122145,40960
26,12.898900,12.766600,0.132300,0.132295,40960
218,12.905469,12.771438,0.134031,0.134027,40960
186,12.902129,12.776613,0.125516,0.125514,40960
122,12.897632,12.768429,0.129203,0.129201,40960
159,12.896002,12.801492,0.094510,0.094505,40960
127,12.900067,12.765353,0.134714,0.134708,40960
255,12.891606,12.761314,0.130292,0.130289,40960
223,12.898042,12.768020,0.130022,0.130014,40960
191,12.898066,12.773887,0.124179,0.124176,40960
103,12.906195,12.768394,0.137801,0.137799,40960
7,12.903341,12.838660,0.064681,0.064676,40960
39,12.901154,12.770761,0.130393,0.130389,40960
71,12.906647,12.774379,0.132268,0.132263,40960
135,12.899209,12.765939,0.133270,0.133262,40960
199,12.906250,12.766967,0.139283,0.139278,40960
231,12.906636,12.778448,0.128188,0.128185,40960
167,12.900064,12.766768,0.133296,0.133287,40960
2,12.896984,12.762058,0.134926,0.134922,40960
194,12.897881,12.773772,0.124109,0.124106,40960
34,12.904657,12.769469,0.135188,0.135182,40960
226,12.897549,12.770478,0.127071,0.127059,40960
162,12.897438,12.772441,0.124997,0.124990,40960
98,12.904620,12.779421,0.125199,0.125192,40960
66,12.909400,12.835218,0.074182,0.074177,40960
130,12.898850,12.769524,0.129326,0.129323,40960
145,12.898860,12.773825,0.125035,0.125031,40960
17,12.897298,12.769485,0.127813,0.127806,40960
177,12.896027,12.771670,0.124357,0.124350,40960
209,12.901583,12.847540,0.054043,0.054040,40960
81,12.904369,12.766577,0.137792,0.137786,40960
241,12.896226,12.781820,0.114406,0.114402,40960
113,12.898877,12.769826,0.129051,0.129042,40960
49,12.904673,12.768035,0.136638,0.136634,40960
84,12.903086,12.849235,0.053851,0.053848,40960
20,12.891523,12.771111,0.120412,0.120409,40960
212,12.890761,12.771617,0.119144,0.119141,40960
244,12.889287,12.767398,0.121889,0.121886,40960
116,12.897701,12.768883,0.128818,0.128813,40960
52,12.897681,12.774217,0.123464,0.123461,40960
148,12.890006,12.767763,0.122243,0.122237,40960
180,12.887369,12.769829,0.117540,0.117532,40960
157,12.898611,12.771822,0.126789,0.126787,40960
61,12.896608,12.776069,0.120539,0.120534,40960
253,12.896434,12.764308,0.132126,0.132121,40960
29,12.898720,12.844025,0.054695,0.054691,40960
93,12.900250,12.770371,0.129879,0.129876,40960
221,12.902545,12.772412,0.130133,0.130127,40960
125,12.898416,12.769069,0.129347,0.129337,40960
189,12.902294,12.766852,0.135442,0.135441,40960
1,12.895191,12.767683,0.127508,0.127506,40960
67,12.910241,12.848180,0.062061,0.062056,40960
128,12.898475,12.762579,0.135896,0.135890,40960
64,12.907499,12.838397,0.069102,0.069100,40960
96,12.900993,12.759120,0.141873,0.141869,40960
32,12.901609,12.770975,0.130634,0.130630,40960
192,12.897614,12.756755,0.140859,0.140853,40960
140,12.888764,12.770370,0.118394,0.118390,40960
92,12.892390,12.848066,0.044324,0.044322,40960
133,12.904285,12.766961,0.137324,0.137321,40960
101,12.909946,12.788953,0.120993,0.120988,40960
69,12.912325,12.841133,0.071192,0.071186,40960
