Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
384,25.848839,25.593208,0.255631,0.129439,57920
320,25.845460,25.588320,0.257140,0.153151,57920
448,25.844840,25.570008,0.274832,0.174968,57920
0,25.852718,25.751271,0.101447,0.069684,57920
256,25.848606,25.586391,0.262215,0.138533,57920
64,25.845431,25.582595,0.262836,0.151810,57920
192,25.845555,25.586493,0.259062,0.258954,57920
128,25.848857,25.596062,0.252795,0.207602,57920
9,25.893927,25.694284,0.199643,0.101411,57920
66,25.853218,25.572738,0.280480,0.182523,57920
322,25.855368,25.620143,0.235225,0.143342,57920
130,25.858311,25.593630,0.264681,0.164015,57920
2,25.861199,25.697074,0.164125,0.089019,57920
386,25.857569,25.572420,0.285149,0.268175,57920
258,25.858029,25.587630,0.270399,0.128459,57920
450,25.853741,25.585053,0.268688,0.174704,57920
194,25.853771,25.586588,0.267183,0.266646,57920
490,25.890386,25.594371,0.296015,0.190686,57920
42,25.890812,25.587465,0.303347,0.202479,57920
234,25.890650,25.594572,0.296078,0.293869,57920
362,25.890764,25.595030,0.295734,0.210502,57920
298,25.896545,25.733574,0.162971,0.162846,57920
170,25.890682,25.585859,0.304823,0.216651,57920
426,25.890139,25.573080,0.317059,0.231596,57920
106,25.890797,25.596198,0.294599,0.207935,57920
59,25.852237,25.709381,0.142856,0.138193,57920
187,25.848302,25.581434,0.266868,0.237037,57920
315,25.847639,25.564333,0.283306,0.201500,57920
379,25.848331,25.591428,0.256903,0.191062,57920
507,25.848362,25.593276,0.255086,0.199710,57920
251,25.848430,25.594082,0.254348,0.177937,57920
123,25.848303,25.588511,0.259792,0.258508,57920
443,25.848406,25.583287,0.265119,0.176435,57920
40,25.882216,25.584889,0.297327,0.171426,57920
168,25.886995,25.730975,0.156020,0.153123,57920
296,25.882166,25.582157,0.300009,0.188270,57920
360,25.880205,25.580604,0.299601,0.210587,57920
424,25.882500,25.590010,0.292490,0.186525,57920
488,25.880516,25.588042,0.292474,0.199564,57920
88,25.840236,25.594396,0.245840,0.152961,57920
84,25.846490,25.620094,0.226396,0.151479,57920
148,25.850944,25.602449,0.248495,0.136317,57920
20,25.852883,25.693434,0.159449,0.151755,57920
212,25.845279,25.580447,0.264832,0.173648,57920
276,25.850134,25.586265,0.263869,0.212784,57920
404,25.849374,25.566277,0.283097,0.156210,57920
468,25.845863,25.594942,0.250921,0.171050,57920
340,25.846003,25.599193,0.246810,0.243630,57920
147,25.854035,25.576869,0.277166,0.191062,57920
19,25.857984,25.711518,0.146466,0.089067,57920
83,25.851991,25.604314,0.247677,0.147812,57920
211,25.851029,25.575751,0.275278,0.164083,57920
275,25.854190,25.582669,0.271521,0.175352,57920
339,25.850934,25.572464,0.278470,0.173548,57920
467,25.851466,25.587020,0.264446,0.263463,57920
403,25.853453,25.564712,0.288741,0.285657,57920
416,25.848607,25.594660,0.253947,0.111611,57920
160,25.852750,25.733750,0.119000,0.053261,57920
288,25.848467,25.589087,0.259380,0.159318,57920
96,25.844891,25.578419,0.266472,0.150922,57920
480,25.845211,25.586130,0.259081,0.258949,57920
32,25.848014,25.575437,0.272577,0.258021,57920
224,25.846128,25.615443,0.230685,0.115674,57920
352,25.845610,25.597201,0.248409,0.134877,57920
294,25.874129,25.584762,0.289367,0.222591,57920
38,25.875321,25.616385,0.258936,0.233673,57920
166,25.877285,25.700004,0.177281,0.092251,57920
422,25.873704,25.576682,0.297022,0.210282,57920
486,25.870695,25.567532,0.303163,0.196581,57920
230,25.871586,25.598265,0.273321,0.269657,57920
358,25.871445,25.588635,0.282810,0.185097,57920
102,25.871359,25.586200,0.285159,0.191814,57920
284,25.853174,25.581157,0.272017,0.110330,57920
92,25.848100,25.581129,0.266971,0.266870,57920
412,25.857538,25.728564,0.128974,0.128329,57920
476,25.849405,25.622651,0.226754,0.149496,57920
220,25.848635,25.596514,0.252121,0.165701,57920
28,25.853023,25.577056,0.275967,0.138802,57920
348,25.848238,25.582734,0.265504,0.176855,57920
156,25.853369,25.588412,0.264957,0.118096,57920
385,25.853124,25.581957,0.271167,0.158530,57920
267,25.893821,25.699548,0.194273,0.194048,57920
395,25.890482,25.585288,0.305194,0.220340,57920
139,25.890311,25.579199,0.311112,0.224934,57920
439,25.840284,25.584228,0.256056,0.226069,57920
375,25.839001,25.607242,0.231759,0.230567,57920
183,25.839699,25.571130,0.268569,0.158969,57920
311,25.844099,25.709625,0.134474,0.097461,57920
503,25.838345,25.587542,0.250803,0.165400,57920
55,25.840762,25.603773,0.236989,0.133271,57920
247,25.837899,25.573436,0.264463,0.192391,57920
119,25.838660,25.597054,0.241606,0.166904,57920
438,25.841221,25.584212,0.257009,0.155934,57920
43,25.891925,25.726617,0.165308,0.074522,57920
299,25.887685,25.588014,0.299671,0.299532,57920
171,25.887031,25.568955,0.318076,0.197704,57920
491,25.885502,25.577861,0.307641,0.230555,57920
363,25.886341,25.597998,0.288343,0.215379,57920
235,25.886418,25.610829,0.275589,0.274631,57920
107,25.886312,25.599345,0.286967,0.215070,57920
427,25.887831,25.588124,0.299707,0.175938,57920
41,25.887182,25.572479,0.314703,0.273457,57920
411,25.850390,25.565907,0.284483,0.280697,57920
226,25.853607,25.599168,0.254439,0.192621,57920
418,25.856614,25.590877,0.265737,0.154540,57920
354,25.853180,25.586536,0.266644,0.188398,57920
290,25.856328,25.589190,0.267138,0.216704,57920
34,25.856552,25.587946,0.268606,0.200651,57920
482,25.852334,25.566425,0.285909,0.283363,57920
98,25.853133,25.584571,0.268562,0.195046,57920
136,25.888974,25.694511,0.194463,0.095889,57920
72,25.880696,25.596187,0.284509,0.246151,57920
200,25.880951,25.600727,0.280224,0.276358,57920
8,25.885817,25.578070,0.307747,0.303969,57920
328,25.880357,25.588027,0.292330,0.209361,57920
392,25.885917,25.579586,0.306331,0.203908,57920
264,25.886351,25.592164,0.294187,0.213416,57920
456,25.880731,25.598462,0.282269,0.219115,57920
188,25.851429,25.587545,0.263884,0.168453,57920
316,25.851184,25.580371,0.270813,0.265001,57920
444,25.851729,25.591818,0.259911,0.250149,57920
380,25.851479,25.594659,0.256820,0.255612,57920
252,25.850971,25.581750,0.269221,0.191536,57920
124,25.850861,25.578352,0.272509,0.186544,57920
60,25.854345,25.700466,0.153879,0.085657,57920
508,25.852120,25.612982,0.239138,0.137390,57920
400,25.867535,25.570284,0.297251,0.180652,57920
144,25.868147,25.589034,0.279113,0.212696,57920
464,25.867328,25.632049,0.235279,0.114377,57920
16,25.871204,25.715169,0.156035,0.134207,57920
272,25.868106,25.582617,0.285489,0.214286,57920
80,25.865440,25.579278,0.286162,0.154822,57920
208,25.865813,25.589938,0.275875,0.262041,57920
336,25.865601,25.583438,0.282163,0.177050,57920
161,25.853288,25.583232,0.270056,0.269617,57920
415,25.849359,25.561768,0.287591,0.155945,57920
287,25.850066,25.579401,0.270665,0.136989,57920
31,25.850782,25.596307,0.254475,0.209949,57920
223,25.847173,25.598559,0.248614,0.160027,57920
302,25.877879,25.600936,0.276943,0.125791,57920
110,25.873524,25.590423,0.283101,0.201360,57920
46,25.877455,25.589573,0.287882,0.122960,57920
238,25.873400,25.592331,0.281069,0.189426,57920
