Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
64,0.401124,0.243157,0.157967,0.137674,20480
192,0.401107,0.242987,0.158120,0.137915,20480
128,0.401177,0.244714,0.156463,0.136349,20480
0,0.401157,0.244417,0.156740,0.121271,20480
147,0.314388,0.242668,0.071720,0.038444,20480
19,0.314379,0.244045,0.070334,0.038128,20480
83,0.314388,0.244789,0.069599,0.036055,20480
211,0.314328,0.243815,0.070513,0.029927,20480
223,0.316512,0.240670,0.075842,0.043533,20480
95,0.316471,0.240663,0.075808,0.037005,20480
31,0.316528,0.243727,0.072801,0.040619,20480
159,0.316457,0.242604,0.073853,0.038462,20480
175,0.312985,0.248329,0.064656,0.028919,20480
4,0.346159,0.242464,0.103695,0.060643,20480
30,0.336223,0.241013,0.095210,0.062892,20480
214,0.333170,0.244076,0.089094,0.052581,20480
198,0.335815,0.243133,0.092682,0.070320,20480
6,0.335761,0.241920,0.093841,0.056629,20480
134,0.335770,0.241852,0.093918,0.055996,20480
70,0.335857,0.242717,0.093140,0.069918,20480
163,0.316404,0.244543,0.071861,0.037700,20480
35,0.316378,0.242511,0.073867,0.040645,20480
99,0.316303,0.241417,0.074886,0.042093,20480
227,0.316336,0.242682,0.073654,0.040308,20480
153,0.312074,0.243876,0.068198,0.030784,20480
89,0.312085,0.243522,0.068563,0.036148,20480
217,0.312109,0.244188,0.067921,0.029815,20480
25,0.312048,0.242681,0.069367,0.026373,20480
37,0.316051,0.242604,0.073447,0.039758,20480
165,0.316126,0.245443,0.070683,0.039514,20480
101,0.315997,0.242869,0.073128,0.049971,20480
229,0.316024,0.242813,0.073211,0.031212,20480
12,0.345976,0.242174,0.103802,0.091976,20480
28,0.346124,0.243206,0.102918,0.071572,20480
156,0.346146,0.243678,0.102468,0.071211,20480
220,0.346114,0.242668,0.103446,0.072041,20480
92,0.346092,0.242594,0.103498,0.070288,20480
126,0.336190,0.241608,0.094582,0.071366,20480
254,0.336186,0.242527,0.093659,0.070288,20480
190,0.336345,0.245465,0.090880,0.052919,20480
62,0.336294,0.244363,0.091931,0.069210,20480
84,0.345607,0.244446,0.101161,0.060721,20480
212,0.345581,0.244030,0.101551,0.060387,20480
148,0.345563,0.243230,0.102333,0.060686,20480
20,0.345610,0.244082,0.101528,0.069685,20480
43,0.306014,0.244108,0.061906,0.041205,20480
107,0.305950,0.242851,0.063099,0.050102,20480
171,0.306070,0.244614,0.061456,0.049426,20480
235,0.305998,0.243464,0.062534,0.050060,20480
22,0.333164,0.243207,0.089957,0.049479,20480
239,0.312940,0.243623,0.069317,0.045609,20480
47,0.312883,0.241813,0.071070,0.047461,20480
111,0.313000,0.244689,0.068311,0.045920,20480
132,0.346198,0.243955,0.102243,0.065231,20480
196,0.346111,0.241737,0.104374,0.064870,20480
33,0.316236,0.243322,0.072914,0.039664,20480
97,0.316174,0.241165,0.075009,0.033926,20480
225,0.316147,0.239741,0.076406,0.051981,20480
161,0.316205,0.242464,0.073741,0.039466,20480
16,0.381523,0.244001,0.137522,0.107593,20480
144,0.381608,0.244814,0.136794,0.097251,20480
172,0.345935,0.242318,0.103617,0.090629,20480
46,0.336004,0.240226,0.095778,0.062009,20480
174,0.336032,0.240861,0.095171,0.061509,20480
110,0.336133,0.242428,0.093705,0.059849,20480
238,0.336171,0.244167,0.092004,0.063234,20480
151,0.299303,0.241027,0.058276,0.048923,20480
23,0.296861,0.241827,0.055034,0.031061,20480
5,0.316049,0.243722,0.072327,0.038221,20480
56,0.365245,0.242658,0.122587,0.099112,20480
184,0.365319,0.243676,0.121643,0.101221,20480
120,0.365356,0.243146,0.122210,0.088897,20480
248,0.365352,0.243137,0.122215,0.088162,20480
143,0.312867,0.242021,0.070846,0.050105,20480
205,0.312378,0.241366,0.071012,0.040645,20480
77,0.312358,0.241231,0.071127,0.039939,20480
141,0.312428,0.241733,0.070695,0.038635,20480
13,0.312434,0.242006,0.070428,0.037272,20480
189,0.311019,0.244252,0.066767,0.029073,20480
125,0.310901,0.240229,0.070672,0.045148,20480
61,0.311077,0.245526,0.065551,0.043027,20480
253,0.310892,0.240622,0.070270,0.044588,20480
90,0.341373,0.242237,0.099136,0.055841,20480
154,0.341274,0.242353,0.098921,0.061468,20480
26,0.341240,0.240365,0.100875,0.058988,20480
218,0.341362,0.242810,0.098552,0.055841,20480
55,0.301373,0.243364,0.058009,0.035458,20480
183,0.306103,0.242179,0.063924,0.048100,20480
119,0.306125,0.243843,0.062282,0.028838,20480
247,0.306128,0.242828,0.063300,0.030023,20480
186,0.341358,0.242478,0.098880,0.057236,20480
58,0.341315,0.241903,0.099412,0.073610,20480
122,0.341275,0.241276,0.099999,0.062911,20480
250,0.341310,0.241801,0.099509,0.060884,20480
50,0.334834,0.244846,0.089988,0.052011,20480
242,0.334848,0.243736,0.091112,0.048314,20480
114,0.334818,0.243680,0.091138,0.058090,20480
178,0.334767,0.242857,0.091910,0.064352,20480
133,0.316113,0.245626,0.070487,0.039314,20480
73,0.316180,0.242528,0.073652,0.038706,20480
150,0.333182,0.243016,0.090166,0.052033,20480
176,0.383243,0.243997,0.139246,0.107088,20480
57,0.312056,0.242205,0.069851,0.043090,20480
226,0.334003,0.241147,0.092856,0.069030,20480
162,0.334107,0.244364,0.089743,0.048870,20480
40,0.365922,0.240984,0.124938,0.101469,20480
232,0.365888,0.239951,0.125937,0.103005,20480
203,0.306003,0.243094,0.062909,0.037274,20480
75,0.306012,0.244083,0.061929,0.039990,20480
81,0.316084,0.241361,0.074723,0.046212,20480
17,0.315988,0.240066,0.075922,0.044160,20480
209,0.316095,0.241817,0.074278,0.041021,20480
88,0.365357,0.244087,0.121270,0.088727,20480
216,0.365406,0.245065,0.120341,0.098159,20480
152,0.365343,0.243759,0.121584,0.109170,20480
224,0.401130,0.243204,0.157926,0.134443,20480
96,0.401103,0.243693,0.157410,0.135488,20480
160,0.401173,0.242687,0.158486,0.123606,20480
210,0.334697,0.242736,0.091961,0.045394,20480
18,0.334818,0.242784,0.092034,0.044665,20480
82,0.334715,0.242632,0.092083,0.063964,20480
208,0.381434,0.240854,0.140580,0.107683,20480
127,0.316603,0.243525,0.073078,0.034553,20480
191,0.316605,0.243618,0.072987,0.044453,20480
79,0.312964,0.244766,0.068198,0.048608,20480
245,0.313892,0.243169,0.070723,0.042874,20480
53,0.313836,0.240457,0.073379,0.040179,20480
117,0.313927,0.242187,0.071740,0.037979,20480
180,0.345467,0.240482,0.104985,0.070334,20480
116,0.345551,0.242242,0.103309,0.059370,20480
52,0.345549,0.247447,0.098102,0.058139,20480
85,0.313926,0.242461,0.071465,0.039637,20480
213,0.313933,0.242271,0.071662,0.035596,20480
149,0.313964,0.241922,0.072042,0.037068,20480
231,0.314131,0.243203,0.070928,0.047327,20480
69,0.315881,0.239877,0.076004,0.050956,20480
182,0.333208,0.243653,0.089555,0.047799,20480
51,0.314397,0.242830,0.071567,0.039731,20480
131,0.316376,0.242630,0.073746,0.038392,20480
86,0.333234,0.243659,0.089575,0.052334,20480
135,0.314125,0.242795,0.071330,0.034368,20480
185,0.312067,0.241629,0.070438,0.036801,20480
91,0.306546,0.243175,0.063371,0.029364,20480
228,0.346259,0.244266,0.101993,0.068813,20480
65,0.316276,0.243565,0.072711,0.048812,20480
233,0.316179,0.243327,0.072852,0.048338,20480
9,0.316249,0.244848,0.071401,0.039743,20480
249,0.312136,0.243699,0.068437,0.029382,20480
45,0.312507,0.244570,0.067937,0.037010,20480
155,0.306578,0.244861,0.061717,0.034391,20480
7,0.314118,0.242113,0.072005,0.047746,20480
3,0.316412,0.243578,0.072834,0.039700,20480
169,0.316191,0.243124,0.073067,0.048861,20480
34,0.334104,0.243745,0.090359,0.055317,20480
108,0.345964,0.242823,0.103141,0.089288,20480
49,0.316061,0.241177,0.074884,0.038140,20480
177,0.316036,0.241561,0.074475,0.046401,20480
113,0.316091,0.243489,0.072602,0.039262,20480
38,0.335773,0.243659,0.092114,0.054797,20480
137,0.316290,0.245057,0.071233,0.033373,20480
87,0.302561,0.242378,0.060183,0.027874,20480
14,0.336211,0.245082,0.091129,0.058661,20480
230,0.335815,0.243847,0.091968,0.049876,20480
252,0.346155,0.244156,0.101999,0.073511,20480
188,0.346231,0.245450,0.100781,0.077369,20480
124,0.346069,0.242021,0.104048,0.072061,20480
146,0.334877,0.244863,0.090014,0.049472,20480
194,0.334157,0.245241,0.088916,0.053646,20480
66,0.334066,0.242307,0.091759,0.068128,20480
219,0.306513,0.244132,0.062381,0.039427,20480
158,0.336265,0.241179,0.095086,0.063067,20480
118,0.333154,0.242897,0.090257,0.051034,20480
166,0.335797,0.242573,0.093224,0.064816,20480
129,0.316208,0.241979,0.074229,0.050752,20480
167,0.314267,0.249923,0.064344,0.045124,20480
140,0.346008,0.242387,0.103621,0.076665,20480
243,0.314310,0.241206,0.073104,0.039376,20480
112,0.383178,0.242067,0.141111,0.098920,20480
