Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
16,0.349166,0.243634,0.105532,0.105529,102400
32,0.349256,0.242944,0.106312,0.106307,102400
0,0.349448,0.244260,0.105188,0.105186,102400
48,0.349208,0.242318,0.106890,0.106888,102400
8,0.349261,0.242592,0.106669,0.106664,102400
40,0.349276,0.243542,0.105734,0.105731,102400
24,0.348858,0.242947,0.105911,0.105902,102400
56,0.349222,0.245397,0.103825,0.103821,102400
31,0.337388,0.241741,0.095647,0.095638,102400
47,0.337978,0.242325,0.095653,0.095649,102400
63,0.337983,0.241621,0.096362,0.096357,102400
15,0.338028,0.243577,0.094451,0.094451,102400
12,0.349229,0.242391,0.106838,0.106831,102400
28,0.349002,0.242379,0.106623,0.106619,102400
60,0.349189,0.241450,0.107739,0.107734,102400
44,0.349202,0.243048,0.106154,0.106149,102400
11,0.330414,0.242549,0.087865,0.087860,102400
43,0.330400,0.240767,0.089633,0.089629,102400
59,0.329830,0.239811,0.090019,0.090016,102400
27,0.330297,0.241704,0.088593,0.088590,102400
3,0.330511,0.242434,0.088077,0.088074,102400
51,0.330007,0.241862,0.088145,0.088133,102400
7,0.338042,0.244357,0.093685,0.093681,102400
39,0.337833,0.241961,0.095872,0.095867,102400
23,0.337778,0.242403,0.095375,0.095369,102400
55,0.337905,0.242398,0.095507,0.095502,102400
21,0.330757,0.242352,0.088405,0.088399,102400
13,0.331035,0.243086,0.087949,0.087946,102400
45,0.330989,0.241117,0.089872,0.089862,102400
61,0.330967,0.243583,0.087384,0.087376,102400
29,0.331035,0.243352,0.087683,0.087677,102400
9,0.328435,0.245157,0.083278,0.083273,102400
25,0.327985,0.244146,0.083839,0.083829,102400
57,0.328226,0.240878,0.087348,0.087342,102400
41,0.328246,0.243337,0.084909,0.084906,102400
46,0.346836,0.241345,0.105491,0.105483,102400
2,0.349395,0.244994,0.104401,0.104395,102400
53,0.330937,0.242017,0.088920,0.088918,102400
19,0.330176,0.241524,0.088652,0.088646,102400
35,0.330630,0.242868,0.087762,0.087759,102400
4,0.349254,0.243646,0.105608,0.105602,102400
42,0.349381,0.244621,0.104760,0.104754,102400
10,0.349364,0.243583,0.105781,0.105770,102400
26,0.348947,0.243083,0.105864,0.105862,102400
58,0.349166,0.241472,0.107694,0.107684,102400
20,0.349145,0.239474,0.109671,0.109668,102400
36,0.349255,0.242419,0.106836,0.106827,102400
38,0.346864,0.242725,0.104139,0.104133,102400
50,0.349140,0.241468,0.107672,0.107669,102400
62,0.346659,0.242341,0.104318,0.104314,102400
37,0.331050,0.242658,0.088392,0.088390,102400
52,0.349013,0.243067,0.105946,0.105944,102400
54,0.346610,0.242483,0.104127,0.104122,102400
6,0.346847,0.243227,0.103620,0.103614,102400
22,0.346652,0.241761,0.104891,0.104882,102400
14,0.347004,0.243117,0.103887,0.103881,102400
5,0.331012,0.242412,0.088600,0.088593,102400
18,0.349098,0.241281,0.107817,0.107817,102400
30,0.346291,0.240799,0.105492,0.105486,102400
1,0.328233,0.243705,0.084528,0.084522,102400
49,0.328053,0.241253,0.086800,0.086791,102400
17,0.328216,0.242301,0.085915,0.085913,102400
33,0.328014,0.241244,0.086770,0.086765,102400
34,0.349363,0.242732,0.106631,0.106621,102400
