Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
576,13.371777,11.134040,2.237737,2.157057,409600
768,13.372714,11.154749,2.217965,2.168613,409600
384,13.370884,11.051681,2.319203,2.273597,409600
1088,13.375908,11.187163,2.188745,2.131833,409600
704,13.373809,11.178004,2.195805,2.104202,409600
1152,13.370832,11.047825,2.323007,2.263432,409600
640,13.367370,11.056572,2.310798,2.251439,409600
1150,13.352886,11.220228,2.132658,2.107563,409600
366,13.340379,11.256475,2.083904,2.061160,409600
734,13.357970,11.283705,2.074265,2.061318,409600
926,13.356763,11.143429,2.213334,2.176586,409600
1118,13.357321,11.291319,2.066002,2.051541,409600
94,13.355533,11.244109,2.111424,2.090982,409600
1246,13.357001,11.277670,2.079331,2.063348,409600
862,13.357369,11.300072,2.057297,2.045005,409600
414,13.355354,11.149447,2.205907,2.129012,409600
158,13.357436,11.216238,2.141198,2.079661,409600
30,13.355000,11.142005,2.212995,2.136788,409600
350,13.358519,11.303660,2.054859,2.044450,409600
286,13.356613,11.158939,2.197674,2.111293,409600
798,13.360602,11.336399,2.024203,2.001753,409600
222,13.357751,11.274229,2.083522,2.074176,409600
1054,13.353668,11.123210,2.230458,2.140598,409600
478,13.359237,11.303001,2.056236,2.050332,409600
1182,13.356717,11.171866,2.184851,2.114834,409600
990,13.355895,11.242984,2.112911,2.088197,409600
542,13.355511,11.160048,2.195463,2.135334,409600
670,13.355583,11.162760,2.192823,2.152192,409600
6,13.339967,11.145298,2.194669,2.159235,409600
1158,13.339058,11.141518,2.197540,2.165096,409600
1047,13.375385,11.116919,2.258466,2.245830,409600
1128,13.345271,11.196083,2.149188,2.103571,409600
360,13.343530,11.148903,2.194627,2.130421,409600
232,13.345973,11.176644,2.169329,2.132787,409600
488,13.344194,11.160004,2.184190,2.138269,409600
616,13.345676,11.195557,2.150119,2.090677,409600
40,13.345061,11.079582,2.265479,2.198503,409600
936,13.345928,11.152735,2.193193,2.149536,409600
1256,13.346281,11.201012,2.145269,2.098650,409600
1064,13.347234,11.148866,2.198368,2.116134,409600
1000,13.342967,11.117784,2.225183,2.151813,409600
221,13.376195,11.290917,2.085278,2.070508,409600
318,13.355340,11.294165,2.061175,2.013145,409600
1198,13.336925,11.077043,2.259882,2.225103,409600
927,13.387506,11.195441,2.192065,2.134209,409600
561,13.379595,11.137742,2.241853,2.185435,409600
460,13.353012,11.265820,2.087192,2.064437,409600
524,13.347266,11.091415,2.255851,2.182893,409600
716,13.351052,11.209935,2.141117,2.115604,409600
844,13.351981,11.260681,2.091300,2.073713,409600
204,13.353770,11.254476,2.099294,2.087484,409600
332,13.353374,11.271130,2.082244,2.067898,409600
588,13.353496,11.260149,2.093347,2.074476,409600
652,13.349174,11.139215,2.209959,2.169802,409600
972,13.353273,11.291907,2.061366,2.054418,409600
1164,13.347881,11.139432,2.208449,2.120544,409600
12,13.351269,11.132252,2.219017,2.143984,409600
268,13.347163,11.099431,2.247732,2.104393,409600
908,13.354661,11.292527,2.062134,2.043805,409600
76,13.352805,11.258641,2.094164,2.067452,409600
1036,13.348641,11.127594,2.221047,2.153246,409600
1228,13.352893,11.278051,2.074842,2.053625,409600
1100,13.355945,11.282862,2.073083,2.053900,409600
780,13.347770,11.109250,2.238520,2.198378,409600
140,13.347635,11.090998,2.256637,2.189927,409600
396,13.346108,11.064240,2.281868,2.238125,409600
377,13.391646,11.206535,2.185111,2.155572,409600
825,13.394036,11.278043,2.115993,2.105751,409600
397,13.387337,11.282612,2.104725,2.089495,409600
141,13.381608,11.107612,2.273996,2.158621,409600
13,13.381550,11.115473,2.266077,2.208490,409600
1229,13.380035,11.165143,2.214892,2.197655,409600
1101,13.381082,11.200604,2.180478,2.160089,409600
333,13.381331,11.213196,2.168135,2.147702,409600
461,13.378614,11.121419,2.257195,2.234103,409600
525,13.380111,11.124456,2.255655,2.201147,409600
77,13.380677,11.215379,2.165298,2.143711,409600
589,13.380906,11.194929,2.185977,2.167926,409600
973,13.383500,11.247265,2.136235,2.111986,409600
653,13.383207,11.130726,2.252481,2.185250,409600
144,13.363767,11.314881,2.048886,1.989586,409600
1168,13.357423,11.135529,2.221894,2.094269,409600
80,13.364068,11.200719,2.163349,2.137755,409600
656,13.357840,11.110045,2.247795,2.116620,409600
976,13.365278,11.239782,2.125496,2.084452,409600
464,13.366655,11.250470,2.116185,2.071162,409600
848,13.365558,11.236754,2.128804,2.087044,409600
784,13.358257,11.123326,2.234931,2.187050,409600
208,13.365334,11.243763,2.121571,2.060534,409600
1104,13.364414,11.174831,2.189583,2.146546,409600
592,13.365231,11.246042,2.119189,2.074644,409600
1040,13.357716,11.153555,2.204161,2.095388,409600
912,13.358355,11.202014,2.156341,2.096700,409600
528,13.357776,11.168044,2.189732,2.085970,409600
44,13.352906,11.071935,2.280971,2.192817,409600
7,13.379787,11.155820,2.223967,2.122234,409600
1159,13.380168,11.144343,2.235825,2.156834,409600
775,13.381228,11.168038,2.213190,2.135699,409600
1031,13.379790,11.132680,2.247110,2.175214,409600
263,13.380159,11.149470,2.230689,2.191322,409600
839,13.383472,11.242025,2.141447,2.122522,409600
583,13.383368,11.246257,2.137111,2.105838,409600
1095,13.382355,11.253630,2.128725,2.096843,409600
455,13.381453,11.168555,2.212898,2.169027,409600
903,13.383946,11.330575,2.053371,2.020168,409600
143,13.375815,11.099154,2.276661,2.196536,409600
207,13.381383,11.248043,2.133340,2.099506,409600
719,13.382072,11.267061,2.115011,2.093421,409600
1103,13.382388,11.245332,2.137056,2.074745,409600
1167,13.378155,11.150697,2.227458,2.128469,409600
975,13.381037,11.248002,2.133035,2.107610,409600
399,13.379759,11.151491,2.228268,2.147220,409600
