,Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size_(Bytes),Message_Size,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Phase,xsolve_timer,xcomm_timer,ysolve_timer,ycomm_timer,zsolve_timer,zcomm_timer,size_q,BT_ID,row_id,Measured_Communication_Time,RF_Model_Communication_Time,Gradient_Boosting_Model_Communication_Time,Tuned_Gradient_Boosting_Model_Communication_Time,Tuned Gradient Boosting Model SUM
14,32,7,239.9 MiB,251545600.0,1142640.0,1.1 MiB,225,1,1,Memory_Bound,FE,442.5174,54.4602,651.7215,264.9182,573.3284,59.3951,15,-4467592594519688920,-7070189846352651939,0.46472704,1.029853105545044,0.7218703031539917,1.7797865867614746,0.9798694849014282
15,32,7,119.9 MiB,125772800.0,190440.0,186.0 KiB,225,1,1,Memory_Bound,BS,442.5174,54.4602,651.7215,264.9182,573.3284,59.3951,15,-4467592594519688920,-7346717415106062591,0.46472704,0.3418799936771393,0.2579991817474365,0.10135906934738159,0.9798694849014282
40,150,4,3.3 MiB,3477366.374400001,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.4087,1.5556,10.6172,1.9514,16.1469,2.1421,25,990381917263712804,-8926599050819441107,0.007964672,0.10326685756444931,0.06346505135297775,0.8299238681793213,0.11828263103961945
41,150,4,1.7 MiB,1738683.1872000005,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.4087,1.5556,10.6172,1.9514,16.1469,2.1421,25,990381917263712804,-5516691198040654737,0.007964672,0.0848761796951294,0.05481757968664169,0.6853407621383667,0.11828263103961945
44,150,10,12.7 MiB,13265100.0,168540.0,164.6 KiB,1600,1,1,Memory_Bound,FE,63.211,7.3747,92.8117,10.1594,94.1209,11.6729,40,273139716540886664,-7099291518254740653,0.023599039999999998,0.242442786693573,0.23868675529956818,1.155084252357483,0.33582672476768494
45,150,10,6.3 MiB,6632550.0,28090.0,27.4 KiB,1600,1,1,Memory_Bound,BS,63.211,7.3747,92.8117,10.1594,94.1209,11.6729,40,273139716540886664,4191174095894318879,0.023599039999999998,0.11979296803474426,0.09713996946811676,0.8351607322692871,0.33582672476768494
46,150,12,9.5 MiB,9966265.965439525,140342.479338843,137.1 KiB,1936,1,1,Memory_Bound,FE,52.2221,5.7457,55.6463,9.0025,81.0258,11.7325,44,506204400709782007,-5556014612070223723,0.016714763636363636,0.23044759035110474,0.29182878136634827,1.1736656427383423,0.4377218931913376
47,150,12,4.8 MiB,4983132.982719761,23390.4132231405,22.8 KiB,1936,1,1,Memory_Bound,BS,52.2221,5.7457,55.6463,9.0025,81.0258,11.7325,44,506204400709782007,-179751465360509489,0.016714763636363636,0.11963300406932831,0.14589311182498932,0.8655314445495605,0.4377218931913376
48,150,16,6.5 MiB,6791731.199999999,109910.39999999998,107.3 KiB,2500,1,1,Memory_Bound,FE,40.2396,5.0336,41.9866,6.0312,63.8583,6.3992,50,-5683891906437213767,-4683693231573147637,0.012886016,0.23044759035110474,0.29182878136634827,1.2347352504730225,0.44329628348350525
49,150,16,3.2 MiB,3395865.6,18318.4,17.9 KiB,2500,1,1,Memory_Bound,BS,40.2396,5.0336,41.9866,6.0312,63.8583,6.3992,50,-5683891906437213767,8456557894848850083,0.012886016,0.11963300406932831,0.15146750211715698,1.0507365465164185,0.44329628348350525
